"","...1","a","q","ad","per_y","data_arc","n_obs_used","H","diameter","moid"
"20328",28051,0,3,0,5,7659,0,14,7,1.71775
"20329",28052,0,0,4,0,0,1107,14,9,1.5557
"20330",28053,0,2,0,0,7703,1062,14,6,NA
"20331",28054,3,0,3,0,0,862,14,5,1.35576
"20332",28055,3,3,3,0,7624,1278,14,11,1.91843
"20333",28057,0,2,3,4,7812,0,15,3,1.08492
"20334",28059,0,3,3,5,8831,0,14,5,1.67307
"20335",28060,3,0,3,0,0,1249,0,8,NA
"20336",28064,3,3,0,6,8892,734,14,8,NA
"20337",28065,3,2,0,4,7561,1190,14,4,NA
"20338",28066,3,0,3,0,0,1096,15,2,1.23381
"20339",28067,3,3,4,6,9363,0,0,9,NA
"20340",28068,0,2,0,0,0,0,15,3,1.11251
"20341",28069,0,0,0,0,15500,1051,14,8,1.5674
"20342",28070,3,3,3,5,8168,0,0,19,1.9059
"20343",28071,0,3,0,6,9329,541,15,7,NA
"20344",28072,3,0,4,0,8445,1285,0,9,NA
"20345",28073,3,3,0,0,7632,0,13,14,2.15709
"20346",28075,3,3,4,6,8894,908,0,9,1.84235
"20347",28076,0,0,0,5,9532,806,0,5,1.52563
"20348",28078,3,3,3,5,9767,1075,15,4,NA
"20349",28079,3,2,3,4,0,0,13,5,1.05257
"20350",28081,4,0,5,8,10100,0,0,12,NA
"20351",28083,3,0,4,6,13342,0,14,5,NA
"20352",28084,0,2,0,5,7657,0,0,9,1.45945
"20353",28085,0,0,3,4,8596,0,15,7,NA
"20354",28086,3,0,3,5,10290,895,14,6,1.84575
"20355",28087,3,2,0,4,11946,1108,14,4,0.903938
"20356",28088,3,0,3,4,14916,833,15,5,0.893723
"20357",28089,3,2,3,0,7677,870,15,3,1.3345
"20358",28091,0,3,3,5,8979,0,14,6,1.93187
"20359",28093,3,0,0,6,9340,951,0,9,1.99975
"20360",28094,0,0,3,6,9396,0,14,10,2.0394
"20361",28095,0,3,4,0,9351,786,14,9,1.84402
"20362",28097,3,3,3,0,0,0,14,4,2.01496
"20363",28099,0,3,4,6,0,1232,0,7,NA
"20364",28101,3,2,3,0,10729,0,14,6,1.06517
"20365",28103,3,3,4,6,7623,1135,13,14,NA
"20366",28105,0,3,0,0,9384,639,14,6,NA
"20367",28107,3,0,0,6,21390,0,14,11,1.63818
"20368",28108,0,2,0,5,0,0,14,7,1.44606
"20369",28109,3,0,4,0,0,1520,13,17,NA
"20370",28110,3,2,0,0,11281,724,15,7,NA
"20371",28111,3,2,3,4,0,1114,14,4,1.26616
"20372",28114,3,3,3,5,0,919,0,8,2.01894
"20373",28115,3,0,4,0,0,0,0,9,NA
"20374",28116,3,3,0,6,9330,0,14,7,NA
"20375",28117,0,0,0,5,10263,1186,0,7,1.52836
"20376",28118,3,3,3,0,14063,1381,14,9,1.5295
"20377",28120,3,0,3,0,0,1036,14,9,2.08802
"20378",28121,0,2,4,0,7330,0,14,6,NA
"20379",28123,3,0,0,5,0,0,14,9,NA
"20380",28124,3,0,3,5,7729,0,0,7,1.75447
"20381",28126,3,3,4,0,0,1086,14,8,NA
"20382",28127,3,0,4,5,9471,0,14,7,1.35984
"20383",28128,3,3,0,6,7622,0,0,22,NA
"20384",28129,0,0,0,6,7562,1523,14,12,1.76888
"20385",28130,0,3,4,6,0,636,14,6,NA
"20386",28131,3,3,3,6,10273,922,14,8,NA
"20387",28132,0,3,3,6,7572,1346,13,12,2.07335
"20388",28133,3,3,3,0,0,0,13,14,NA
"20389",28139,3,2,0,5,10728,0,15,7,0.968175
"20390",28140,3,3,0,6,0,0,0,11,1.801
"20391",28142,3,3,3,6,8484,941,14,8,NA
"20392",28143,3,0,3,0,10232,1041,14,8,NA
"20393",28144,3,3,3,6,0,936,0,6,1.7501
"20394",28145,0,0,3,5,7666,0,14,8,1.72814
"20395",28146,3,3,3,0,9035,1708,13,16,1.80188
"20396",28147,5,5,6,0,7613,0,0,17,3.6237
"20397",28148,3,2,3,0,15777,0,0,6,1.28988
"20398",28149,3,3,0,6,8011,0,14,6,1.58303
"20399",28150,0,3,3,6,0,0,13,19,2.07395
"20400",28152,4,0,5,0,7584,962,0,12,NA
"20401",28153,0,2,3,4,7621,0,0,7,1.03409
"20402",28155,0,5,6,0,0,475,0,13,NA
"20403",28157,3,3,4,6,0,0,14,12,1.69235
"20404",28158,3,2,0,0,0,0,15,7,1.34879
"20405",28159,3,0,0,6,8067,1078,14,13,1.43428
"20406",28160,0,2,0,6,0,657,14,8,NA
"20407",28162,5,0,5,12,0,0,12,13,3.8417
"20408",28163,5,0,0,12,9949,0,0,13,NA
"20409",28166,3,3,0,0,0,1097,14,10,1.74946
"20410",28167,5,0,5,12,7233,619,12,24,3.85134
"20411",28169,3,3,3,5,8336,1004,15,4,1.84407
"20412",28170,5,5,0,12,0,648,11,29,NA
"20413",28174,5,5,5,12,0,0,0,16,NA
"20414",28175,2,0,3,0,7599,1692,14,3,0.958801
"20415",28176,0,4,6,0,0,0,0,21,3.4202
"20416",28179,3,2,0,0,10091,991,15,3,1.44732
"20417",28180,3,3,0,0,10313,757,14,6,NA
"20418",28181,2,2,3,0,8359,1246,15,3,NA
"20419",28182,3,3,0,6,24782,0,0,9,NA
"20420",28183,0,2,0,4,8056,0,0,4,NA
"20421",28186,3,0,3,0,12526,1002,14,4,0.951705
"20422",28188,2,0,0,3,0,619,16,1,0.841886
"20423",28189,0,2,3,0,8276,0,0,2,0.934638
"20424",28190,0,2,3,0,24972,813,0,3,0.786007
"20425",28191,0,2,0,4,11103,0,15,7,1.15417
"20426",28192,0,2,3,0,11554,921,15,3,NA
"20427",28196,3,2,0,4,9157,707,16,2,NA
"20428",28197,2,2,3,3,0,888,0,4,0.733788
"20429",28199,2,2,3,0,0,852,15,4,NA
"20430",28200,2,0,3,3,10395,1012,0,2,0.732249
"20431",28201,0,0,0,4,10037,0,0,7,NA
"20432",28202,2,2,0,0,0,1398,15,3,0.821257
"20433",28203,0,2,0,3,0,0,0,2,0.655086
"20434",28204,4,3,0,0,0,919,13,13,2.1983
"20435",28205,3,0,3,4,7706,0,0,4,NA
"20436",28206,2,2,3,3,12929,1195,15,3,NA
"20437",28207,2,2,0,4,8478,0,0,4,0.976917
"20438",28208,2,2,3,3,0,794,16,2,NA
"20439",28210,0,0,3,0,8212,0,0,3,1.02956
"20440",28212,2,2,3,3,0,0,15,2,0.97395
"20441",28213,4,3,5,8,0,1521,0,22,2.42114
"20442",28214,2,2,3,0,10225,1144,15,3,NA
"20443",28215,0,2,3,3,13527,0,15,2,NA
"20444",28216,2,0,0,3,10399,981,16,2,NA
"20445",28218,3,2,0,4,8180,868,15,5,1.11067
"20446",28219,0,0,0,0,7688,1248,0,10,NA
"20447",28221,2,0,3,4,8745,455,16,1,0.717052
"20448",28223,2,2,3,4,10546,669,0,4,1.04632
"20449",28224,2,0,0,0,8807,848,15,3,NA
"20450",28225,2,0,3,4,0,0,15,2,1.12601
"20451",28226,0,0,3,4,9067,690,0,5,0.854187
"20452",28227,2,2,0,4,8719,565,0,3,0.922804
"20453",28228,2,2,2,0,8418,0,16,2,1.11963
"20454",28229,0,0,0,0,7722,867,0,3,1.37748
"20455",28230,2,0,3,0,17566,0,15,2,1.03597
"20456",28231,3,2,3,0,0,0,0,3,NA
"20457",28232,0,0,0,4,0,0,16,2,NA
"20458",28233,2,0,0,0,9334,1478,0,3,NA
"20459",28237,0,2,3,4,10240,0,15,3,1.1128
"20460",28240,0,2,3,4,0,0,15,3,0.953948
"20461",28241,0,2,3,0,0,1738,14,4,NA
"20462",28242,3,2,0,4,0,1449,0,5,1.04524
"20463",28244,3,2,3,0,8274,0,16,2,1.07398
"20464",28245,2,2,2,3,0,783,0,2,NA
"20465",28246,3,2,4,5,11254,684,15,4,1.01962
"20466",28247,0,2,3,4,7359,1204,14,6,NA
"20467",28248,0,2,3,0,0,1175,0,4,1.02868
"20468",28249,0,2,3,0,0,1111,15,6,0.870274
"20469",28250,3,2,3,0,7602,963,0,4,1.20778
"20470",28252,0,2,0,4,0,0,0,5,1.17614
"20471",28253,3,2,3,4,0,0,15,6,1.13926
"20472",28256,0,2,3,0,9392,0,15,2,0.813387
"20473",28257,2,0,3,4,9137,1654,0,3,0.919616
"20474",28258,0,0,0,0,10432,0,0,2,0.887523
"20475",28259,0,2,3,0,0,1299,0,2,0.859545
"20476",28261,3,3,3,5,10398,0,0,7,NA
"20477",28262,0,2,0,0,9369,1214,0,4,1.16176
"20478",28263,0,2,4,0,9546,0,14,5,1.2532
"20479",28264,3,2,3,4,7821,1435,15,3,1.21811
"20480",28265,2,2,3,4,13436,0,15,3,NA
"20481",28266,2,2,3,4,0,0,0,5,NA
"20482",28267,0,2,3,4,7592,1145,0,3,NA
"20483",28268,2,2,3,0,9334,1519,0,2,0.921065
"20484",28269,2,2,2,0,8772,1091,15,2,NA
"20485",28270,3,0,3,5,0,765,15,4,1.73172
"20486",28271,0,0,3,4,0,722,0,3,1.16903
"20487",28272,2,2,3,4,0,830,15,2,NA
"20488",28273,4,0,0,8,0,945,13,13,2.22807
"20489",28274,0,2,0,4,0,0,14,4,NA
"20490",28275,3,2,3,0,11566,0,15,7,1.12989
"20491",28276,0,2,0,4,0,909,0,10,1.1946
"20492",28277,3,2,3,0,8285,1062,14,3,1.19358
"20493",28278,3,2,0,4,0,1162,0,5,1.19442
"20494",28280,0,2,3,4,8750,899,0,2,NA
"20495",28283,2,0,2,0,0,0,16,2,NA
"20496",28285,3,0,0,0,9729,0,15,6,NA
"20497",28286,3,2,0,4,11069,842,15,7,1.18639
"20498",28287,2,2,3,0,9009,0,0,3,NA
"20499",28288,2,0,2,4,9283,1209,15,5,1.15408
"20500",28291,3,3,3,0,0,0,15,5,1.72227
"20501",28292,2,0,3,0,10398,1403,15,4,NA
"20502",28293,0,2,3,4,0,0,0,4,1.44378
"20503",28296,2,2,3,0,9928,779,0,2,0.924125
"20504",28297,0,0,0,5,7739,1370,14,6,1.68669
"20505",28299,3,2,3,4,8721,914,15,5,1.1124
"20506",28300,2,0,2,3,0,1300,15,2,NA
"20507",28301,0,2,0,0,14877,802,16,4,1.00802
"20508",28302,0,0,3,0,11394,1103,14,5,NA
"20509",28303,3,3,4,5,0,732,14,5,1.53672
"20510",28304,3,2,0,0,7741,945,0,3,1.42289
"20511",28305,2,2,2,0,0,1236,15,3,1.11411
"20512",28306,0,2,0,5,9807,864,0,5,1.10694
"20513",28308,0,2,0,0,8209,858,15,2,1.47541
"20514",28310,0,0,3,3,0,1016,15,2,0.961324
"20515",28312,2,2,0,0,8545,0,0,4,NA
"20516",28313,3,2,0,5,0,960,14,11,1.50197
"20517",28316,3,3,3,0,8601,0,14,5,NA
"20518",28318,2,2,0,4,13837,0,15,8,1.20177
"20519",28319,3,2,3,0,8215,0,15,3,1.18003
"20520",28320,3,2,0,0,7863,0,0,6,1.06163
"20521",28321,3,3,3,0,0,615,14,8,1.8317
"20522",28322,2,2,2,3,9929,701,0,3,1.01023
"20523",28324,0,2,3,0,10001,980,15,3,1.42335
"20524",28325,2,0,0,4,0,847,15,2,NA
"20525",28326,3,2,3,4,0,1160,14,3,1.35765
"20526",28327,3,0,0,5,7631,0,14,6,1.8348
"20527",28328,0,0,0,4,0,0,14,4,0.958206
"20528",28329,3,3,3,5,8708,949,0,5,NA
"20529",28330,3,0,3,0,8977,814,14,8,NA
"20530",28331,0,2,3,4,8781,1078,0,3,NA
"20531",28335,3,2,3,0,9660,0,16,3,1.30246
"20532",28336,3,0,0,4,0,1012,0,5,NA
"20533",28337,2,0,2,3,10396,0,0,2,1.1129
"20534",28339,0,2,3,4,10142,920,0,5,NA
"20535",28341,3,2,3,0,9941,1052,0,6,1.26642
"20536",28343,0,0,2,3,0,1048,0,4,1.14185
"20537",28344,2,2,3,4,7646,0,15,4,1.22924
"20538",28346,3,2,3,0,9451,0,15,3,1.23043
"20539",28347,2,0,0,3,7773,0,14,4,NA
"20540",28349,0,0,3,4,0,754,15,3,0.879736
"20541",28351,3,2,3,4,0,739,15,3,1.41613
"20542",28353,0,0,0,4,0,0,15,3,1.23797
"20543",28354,3,0,3,0,0,1536,14,9,1.28708
"20544",28356,3,2,0,4,0,842,15,3,1.10348
"20545",28357,0,2,3,0,0,700,16,4,1.26966
"20546",28358,3,2,0,4,0,0,0,4,1.45021
"20547",28359,0,2,3,3,9931,0,0,2,0.834268
"20548",28360,3,2,3,4,7680,1077,0,3,1.40467
"20549",28361,2,0,0,0,0,759,15,5,1.06902
"20550",28362,2,2,2,0,0,761,0,2,1.1025
"20551",28363,3,3,3,5,7779,0,14,7,NA
"20552",28365,2,2,3,4,0,0,15,2,NA
"20553",28366,2,2,0,0,8100,1316,15,3,NA
"20554",28367,0,0,3,4,0,1087,0,3,1.08472
"20555",28368,3,2,3,0,9566,1060,0,3,NA
"20556",28369,2,2,3,4,8092,0,0,3,NA
"20557",28370,3,2,3,4,7677,1604,14,11,NA
"20558",28371,3,0,3,4,8204,0,15,3,1.32335
"20559",28372,3,2,0,4,8216,1206,0,9,1.05549
"20560",28373,3,0,3,4,7628,0,14,4,1.36779
"20561",28374,3,0,0,4,21406,1308,14,6,NA
"20562",28375,0,2,0,4,8217,0,0,7,NA
"20563",28376,0,2,0,0,10096,936,0,3,NA
"20564",28379,3,2,3,0,0,0,15,3,1.4619
"20565",28380,3,3,0,0,8548,912,0,9,1.95015
"20566",28382,3,2,3,4,0,0,15,3,1.12374
"20567",28383,3,2,0,6,8869,711,14,7,1.51046
"20568",28385,3,2,3,4,7711,0,14,4,1.36165
"20569",28386,0,2,3,3,9354,0,0,3,0.846364
"20570",28388,0,0,3,4,0,729,0,4,NA
"20571",28389,3,0,0,5,0,0,15,5,1.78526
"20572",28390,0,3,0,0,0,880,14,8,NA
"20573",28391,2,2,3,4,7718,874,16,2,NA
"20574",28392,0,2,3,4,0,1255,0,4,NA
"20575",28394,3,3,3,0,0,718,0,9,1.65584
"20576",28395,3,3,3,5,0,0,0,4,1.92398
"20577",28396,2,0,3,4,10796,1420,0,3,1.12564
"20578",28397,2,2,3,0,9233,1315,15,2,1.15298
"20579",28399,3,3,3,0,0,753,15,6,1.56361
"20580",28400,0,2,3,4,8775,818,16,2,NA
"20581",28401,0,0,2,4,8211,858,15,2,1.11993
"20582",28402,3,3,3,6,8992,0,14,10,NA
"20583",28404,0,3,3,5,24463,1047,15,6,NA
"20584",28405,3,3,0,6,0,0,14,5,1.73387
"20585",28406,0,3,3,0,0,631,0,9,1.59534
"20586",28408,0,2,2,3,9843,0,15,3,1.06975
"20587",28409,0,0,0,5,9422,0,15,4,1.57227
"20588",28410,3,3,3,5,9341,964,15,3,NA
"20589",28413,0,0,4,6,0,1106,14,10,NA
"20590",28415,2,0,3,3,10402,0,16,2,0.965964
"20591",28416,0,2,3,0,9184,1126,15,6,1.025
"20592",28417,0,0,0,0,0,1381,0,6,NA
"20593",28418,0,0,3,5,9905,942,0,7,1.6796
"20594",28420,0,2,0,0,10307,0,0,2,0.92113
"20595",28424,3,0,4,5,0,852,15,6,1.64196
"20596",28425,3,2,3,4,0,1060,15,6,NA
"20597",28426,2,2,0,4,7678,1573,14,4,NA
"20598",28428,3,0,0,5,0,770,0,6,1.4248
"20599",28431,2,2,3,0,15710,0,0,2,NA
"20600",28432,0,2,0,4,0,630,15,2,1.34003
"20601",28433,3,2,3,4,17369,1256,14,4,1.03081
"20602",28434,3,0,3,0,7699,903,0,4,1.38823
"20603",28436,3,0,0,5,10284,857,15,7,1.63429
"20604",28437,3,3,4,0,0,0,0,6,1.57175
"20605",28440,0,2,3,4,13783,1148,0,3,NA
"20606",28442,2,0,3,4,10711,995,15,2,NA
"20607",28444,0,0,0,5,8032,972,14,4,1.67104
"20608",28445,3,3,3,5,9432,880,0,5,NA
"20609",28447,3,2,3,5,0,889,15,3,1.45913
"20610",28448,3,2,3,0,0,840,15,3,1.29512
"20611",28449,0,2,3,4,0,0,15,3,1.06429
"20612",28451,0,3,0,5,0,811,14,8,1.67186
"20613",28452,3,3,0,4,10108,708,15,2,1.53427
"20614",28453,3,3,3,6,10276,551,0,6,1.83045
"20615",28454,0,0,0,4,0,908,0,3,1.5044
"20616",28455,3,0,4,0,8859,0,0,5,1.38943
"20617",28456,0,0,3,4,7707,1243,14,6,NA
"20618",28457,3,0,0,4,9427,811,15,6,1.38473
"20619",28458,3,3,3,5,7275,0,14,5,1.63397
"20620",28459,3,0,0,4,0,1139,14,4,NA
"20621",28460,3,2,3,4,21294,760,0,6,NA
"20622",28461,0,0,3,0,0,1205,0,4,0.956834
"20623",28462,3,0,3,6,10251,651,14,8,1.97876
"20624",28464,3,2,0,4,0,959,14,4,1.38283
"20625",28465,3,3,3,5,0,711,0,8,1.9047
"20626",28466,0,0,0,5,8502,868,14,4,1.43829
"20627",28467,3,2,0,0,9057,807,0,6,1.46263
"20628",28468,2,2,0,0,0,0,0,3,1.14411
"20629",28469,2,2,0,4,0,0,0,3,1.07843
"20630",28470,2,2,3,3,0,1036,16,3,0.934769
"20631",28472,2,2,3,4,9051,980,0,3,NA
"20632",28473,0,3,4,0,8014,0,14,7,NA
"20633",28474,3,2,0,6,13411,0,13,12,NA
"20634",28475,0,3,4,5,0,939,0,9,1.71486
"20635",28476,3,0,0,4,7844,853,0,4,0.987981
"20636",28477,0,2,0,0,7448,955,15,2,NA
"20637",28478,0,0,3,6,0,0,0,6,NA
"20638",28479,3,3,3,5,8591,996,0,3,NA
"20639",28485,3,2,3,4,0,0,0,5,NA
"20640",28486,0,3,3,5,9058,680,0,4,1.72507
"20641",28488,3,2,3,5,8077,0,0,3,NA
"20642",28489,3,0,0,5,0,0,14,4,1.25682
"20643",28490,0,3,0,0,9401,0,15,5,NA
"20644",28491,0,0,0,0,13345,814,0,5,1.29879
"20645",28493,3,3,4,6,0,335,15,6,1.85275
"20646",28494,2,2,0,4,8982,971,15,3,1.13385
"20647",28497,3,2,0,0,8602,0,15,3,1.52106
"20648",28498,0,0,0,6,7553,787,14,11,2.19548
"20649",28499,0,2,2,3,9984,1074,14,4,NA
"20650",28501,3,0,0,6,7619,842,0,10,NA
"20651",28503,0,2,3,0,10083,807,0,5,1.09956
"20652",28504,3,0,0,4,7681,794,14,4,1.53084
"20653",28505,0,2,3,4,8160,0,15,3,NA
"20654",28509,3,3,0,0,0,563,15,4,2.05596
"20655",28510,3,3,3,0,10660,0,13,6,NA
"20656",28511,0,2,3,4,0,0,0,3,1.04881
"20657",28514,2,2,3,3,8786,0,0,2,1.01269
"20658",28518,0,0,0,0,14642,1062,0,3,NA
"20659",28519,3,3,0,0,0,1111,0,8,1.57135
"20660",28520,0,3,3,5,8484,1270,14,4,1.65868
"20661",28522,0,3,4,6,8454,865,14,10,1.78652
"20662",28524,3,3,4,0,0,917,14,8,1.76801
"20663",28528,2,0,3,4,7623,1333,14,4,0.819028
"20664",28529,3,0,3,0,7685,1188,14,4,1.22148
"20665",28530,3,0,3,0,9595,465,0,7,NA
"20666",28531,3,3,4,6,10726,809,0,10,1.65169
"20667",28532,0,0,4,5,9927,0,0,4,1.44294
"20668",28534,0,2,4,5,7690,1340,13,16,1.30592
"20669",28535,5,0,6,12,8822,0,11,36,3.89213
"20670",28537,0,3,0,8,9353,0,0,16,1.96155
"20671",28538,0,0,0,0,0,735,14,6,1.89896
"20672",28539,0,3,0,6,0,0,14,5,NA
"20673",28540,3,2,3,4,7619,1011,14,7,NA
"20674",28541,3,0,0,5,8572,0,14,6,1.98033
"20675",28542,3,3,4,6,13412,0,14,12,1.80711
"20676",28543,0,2,0,0,0,1083,0,3,1.02795
"20677",28545,3,2,4,5,0,1074,14,9,NA
"20678",28546,0,5,0,12,0,688,0,20,3.86197
"20679",28547,0,0,5,0,14728,1417,12,19,NA
"20680",28548,3,0,3,4,0,1160,14,3,1.17506
"20681",28549,0,5,5,12,8388,563,12,17,3.96604
"20682",28551,5,5,6,0,8382,0,12,21,3.93295
"20683",28552,5,0,0,11,0,429,13,13,3.8998
"20684",28554,0,3,3,6,7536,1170,13,12,1.87938
"20685",28555,0,0,3,5,7506,868,0,3,1.66475
"20686",28558,3,2,3,0,0,0,0,4,NA
"20687",28559,3,2,3,0,11826,0,0,5,1.1208
"20688",28561,2,0,2,0,0,0,15,3,1.11966
"20689",28564,3,0,3,4,14119,1143,14,3,1.10452
"20690",28565,0,0,4,6,21208,0,14,7,NA
"20691",28566,3,0,0,0,0,0,14,5,1.79151
"20692",28567,3,0,4,6,8502,871,0,9,1.74149
"20693",28568,3,2,0,4,9643,1479,14,3,0.894557
"20694",28569,3,0,3,6,0,1175,0,11,2.0431
"20695",28570,0,2,3,0,0,0,0,11,0.918649
"20696",28571,3,0,3,5,9892,1090,0,5,1.79449
"20697",28573,3,0,0,4,0,0,14,5,1.1139
"20698",28574,3,2,3,0,14002,0,0,3,NA
"20699",28575,3,0,4,6,10251,0,13,11,NA
"20700",28576,3,0,0,0,0,0,14,7,NA
"20701",28577,3,2,0,4,9680,0,15,3,NA
"20702",28578,3,0,3,6,8948,464,15,5,1.85184
"20703",28579,2,2,3,4,7952,967,15,2,1.12123
"20704",28580,0,0,3,0,14857,669,0,2,1.14185
"20705",28582,3,3,3,4,21307,687,0,6,1.58442
"20706",28584,3,2,3,4,7835,0,0,2,NA
"20707",28586,3,2,0,4,10133,913,0,3,NA
"20708",28588,3,0,3,4,9985,519,0,6,1.20641
"20709",28589,2,2,3,4,15326,0,0,6,0.84262
"20710",28590,2,0,3,0,21300,895,0,2,0.840055
"20711",28591,0,3,4,6,0,941,14,10,2.2806
"20712",28592,3,3,3,5,8091,623,0,4,1.69532
"20713",28593,3,3,0,4,8972,0,15,3,1.61543
"20714",28595,0,0,5,12,0,671,12,15,3.83106
"20715",28597,0,0,3,4,10175,1056,0,2,NA
"20716",28598,2,2,0,4,7532,0,15,2,NA
"20717",28599,0,0,0,0,0,1102,11,33,NA
"20718",28601,3,0,3,6,9276,881,0,8,2.08206
"20719",28602,2,2,3,4,10201,873,16,2,NA
"20720",28603,2,2,0,4,7678,0,15,2,0.995219
"20721",28604,0,0,0,4,11093,0,15,3,NA
"20722",28606,3,2,3,0,21322,0,15,6,NA
"20723",28607,0,0,0,0,0,467,14,7,NA
"20724",28608,3,0,3,4,21342,858,15,6,1.19264
"20725",28609,3,3,0,6,21413,0,14,5,NA
"20726",28611,0,2,3,0,0,664,0,1,0.859441
"20727",28612,2,2,3,0,0,927,0,1,0.899584
"20728",28614,3,2,3,0,0,1199,0,3,1.3009
"20729",28615,3,2,0,4,0,667,0,2,1.20442
"20730",28616,0,3,0,6,0,0,15,7,1.51993
"20731",28617,3,3,4,5,21413,0,15,6,1.70049
"20732",28618,0,2,3,4,21348,929,0,6,1.30569
"20733",28619,3,0,0,0,0,1097,0,3,1.7259
"20734",28621,4,3,5,0,17578,805,13,15,NA
"20735",28622,3,0,3,5,17250,0,15,6,NA
"20736",28623,0,2,3,3,17577,0,16,3,1.02007
"20737",28624,2,2,3,4,16830,744,16,3,1.11216
"20738",28626,3,0,3,4,0,0,15,3,1.45523
"20739",28627,3,2,0,4,0,803,15,3,1.50624
"20740",28629,3,3,3,5,16669,552,15,4,1.62812
"20741",28630,0,0,3,4,16487,1021,16,2,NA
"20742",28631,0,3,5,8,0,0,0,15,2.24241
"20743",28634,0,0,0,0,15177,1048,16,2,1.11963
"20744",28636,3,0,3,6,21407,1141,0,7,1.94839
"20745",28637,2,2,0,4,15325,0,0,2,NA
"20746",28638,3,0,0,0,21399,0,0,10,1.80397
"20747",28640,0,0,3,0,15297,702,0,4,1.00066
"20748",28641,0,0,0,0,15187,0,0,1,0.786657
"20749",28644,0,2,3,0,15030,0,15,2,1.48347
"20750",28646,3,3,4,5,15185,1200,14,15,1.6891
"20751",28647,3,3,4,0,15091,0,0,6,1.66615
"20752",28648,3,0,4,0,15154,1110,0,9,NA
"20753",28649,0,0,0,0,0,1045,15,5,1.05461
"20754",28650,5,5,6,0,0,439,12,13,3.74755
"20755",28651,2,0,2,4,0,1397,0,2,NA
"20756",28652,2,2,3,0,0,560,0,2,NA
"20757",28653,3,0,3,4,0,928,0,4,NA
"20758",28654,5,5,6,12,23952,762,0,26,NA
"20759",28655,3,0,0,5,14442,0,14,4,1.8258
"20760",28656,3,0,3,5,14442,900,0,5,NA
"20761",28657,2,2,3,4,0,944,0,2,NA
"20762",28658,3,3,3,5,0,509,15,8,1.81827
"20763",28659,0,0,3,0,13895,0,0,2,1.03121
"20764",28661,0,2,3,4,0,818,0,7,1.44142
"20765",28665,3,0,0,0,14087,0,15,2,NA
"20766",28666,0,2,3,4,13967,495,0,2,NA
"20767",28668,2,0,3,3,13957,1319,15,2,0.939589
"20768",28669,2,0,3,3,13953,0,16,2,1.05794
"20769",28670,0,0,3,5,13570,1090,14,8,NA
"20770",28671,3,2,4,0,0,1300,13,17,NA
"20771",28673,2,2,0,4,12199,1128,15,2,0.815465
"20772",28675,3,2,3,4,11613,502,0,4,0.967639
"20773",28676,0,2,3,4,23419,0,0,4,0.905691
"20774",28677,0,2,3,0,11114,698,16,2,NA
"20775",28678,2,0,3,0,13295,774,0,5,0.777712
"20776",28679,3,2,0,5,10727,0,15,6,1.19667
"20777",28680,3,0,0,0,10946,2390,0,9,1.54721
"20778",28682,2,2,0,4,10803,1106,0,2,0.875845
"20779",28683,2,0,3,3,10795,1207,0,2,0.95417
"20780",28684,2,0,3,4,0,800,16,2,0.990314
"20781",28685,3,3,0,0,10668,1084,14,9,1.76305
"20782",28686,0,0,3,4,0,0,15,3,1.27911
"20783",28687,0,0,4,0,10721,1316,13,11,NA
"20784",28688,3,2,3,0,10466,1198,14,8,1.18859
"20785",28689,3,3,3,5,0,0,15,6,1.63459
"20786",28690,2,2,3,3,10400,812,16,2,0.853801
"20787",28691,3,2,0,5,0,1526,13,6,1.34023
"20788",28692,0,2,3,0,21305,1026,15,3,NA
"20789",28693,0,2,3,0,15818,1354,14,8,1.38068
"20790",28694,3,0,0,5,9813,837,15,6,NA
"20791",28695,3,2,3,5,9815,950,0,7,1.45037
"20792",28697,2,2,3,3,9810,1643,0,3,NA
"20793",28699,0,3,0,5,9841,1235,14,8,1.57046
"20794",28700,0,2,3,4,9922,0,15,6,NA
"20795",28701,2,2,0,4,10246,0,0,2,NA
"20796",28703,2,2,0,0,9658,0,0,3,0.812823
"20797",28704,0,2,0,4,13107,0,14,8,NA
"20798",28709,0,3,3,4,9551,0,15,3,1.53434
"20799",28710,0,3,3,4,9522,859,0,3,1.56989
"20800",28713,0,0,3,0,10035,639,15,2,1.38233
"20801",28717,3,2,0,0,9547,1189,0,4,1.35829
"20802",28718,0,0,3,0,0,771,15,7,1.17283
"20803",28719,0,2,0,5,9424,757,15,4,NA
"20804",28720,0,0,3,0,9391,1270,14,5,NA
"20805",28721,0,2,3,0,0,0,0,3,NA
"20806",28724,2,0,3,3,9313,903,0,3,1.06109
"20807",28725,0,3,0,0,9344,734,15,7,1.78064
"20808",28729,2,2,2,3,0,1314,15,6,1.0663
"20809",28730,2,0,3,3,9100,0,15,3,NA
"20810",28731,2,2,0,0,9344,0,16,2,1.01746
"20811",28734,0,0,3,0,0,939,15,3,NA
"20812",28735,3,2,3,5,8953,1129,0,6,1.10246
"20813",28736,3,3,3,5,0,1059,15,7,NA
"20814",28737,3,3,3,5,0,956,15,6,NA
"20815",28738,0,3,0,5,10315,556,15,4,1.5625
"20816",28739,3,0,0,0,9038,645,15,5,1.65177
"20817",28741,0,0,3,0,0,777,15,6,1.32526
"20818",28742,3,0,0,5,0,0,0,5,1.38228
"20819",28743,0,0,4,0,0,954,14,6,NA
"20820",28744,3,0,4,5,0,0,14,6,NA
"20821",28745,0,0,0,0,9291,0,14,10,1.64508
